Name,ISIN,Distribution Type,Ticker,NAV,As Of,Bid,Price As Of,Share Class Currency,AUM (M),UCITS,Domicile,OCF (%),TER,Asset Class,Sub Asset Class,Region,Location,Share Class,Market,Strategy,Investment Style,Inception Date,Fund Name,Net Assets,Shares Outstanding,ISA Eligibility,Product Methodology,Issuing Company,Benchmark Index,Benchmark Level,SIPP Availability,UK Distributor / Reporting Status,Discrete,,,,,,,,,Annualised,,,,,,,,,,Cumulative,,,,,,,,,,Calendar,,,,,,,,,Portfolio Characteristics,,,,,Characteristics,,,,,,Sustainability Characteristics (MSCI),,,
iShares Emerging Markets Equity Index Fund (UK) Class D Acc,GB00B84DY642,Accumulating,-,1.80,23/Oct/2020,1.79,23/Oct/2020,GBP,"2,810.52",Y,United Kingdom,0.19,-,Equity,All Cap,Global,Broad,Class D,Emerging,-,Index,29/Jun/2012,iShares Emerging Markets Equity Index Fund (UK),"371,778,465.17","206,716,558.44",-,-,BlackRock Fund Managers Ltd,FTSE Custom Emerging Net Midday Index,-,-,-,iShares Emerging Markets Equity Index Fund (UK) Class D Acc,GB00B84DY642,29/Jun/2012,36.95,16.24,1.31,6.77,3.98,30/Sep/2020,iShares Emerging Markets Equity Index Fund (UK) Class D Acc,GB00B84DY642,29/Jun/2012,3.98,5.37,3.99,12.35,-,6.53,30/Sep/2020,iShares Emerging Markets Equity Index Fund (UK) Class D Acc,GB00B84DY642,29/Jun/2012,-0.12,23.87,12.47,79.03,-,68.59,30/Sep/2020,iShares Emerging Markets Equity Index Fund (UK) Class D Acc,GB00B84DY642,29/Jun/2012,-12.09,36.30,20.55,-8.31,15.77,31/Dec/2019,iShares Emerging Markets Equity Index Fund (UK) Class D Acc,15.06,1.80,0.00,"135,203.61",1.66,0.00,-,0.00,-,-,BBB,4.72,301.67,-
iShares Global Property Secs Eq Index Fund (UK) Class A Inc,GB00B64XTP40,Distributing,-,1.56,23/Oct/2020,1.56,23/Oct/2020,GBP,"4,136.15",Y,United Kingdom,0.56,-,Real Estate,Real Estate Securities,Global,Broad,Class A,Developed,-,Index,29/Jun/2012,iShares Global Property Securities Equity Index Fund (UK),"39,160.18","25,118.74",-,-,BlackRock Fund Managers Ltd,FTSE EPRA Nareit Custom Developed Midday (12:00 UK) (BLK-BCIF) Index,-,-,-,iShares Global Property Secs Eq Index Fund (UK) Class A Inc,GB00B64XTP40,29/Jun/2012,34.72,-2.68,5.62,20.51,-22.05,30/Sep/2020,iShares Global Property Secs Eq Index Fund (UK) Class A Inc,GB00B64XTP40,29/Jun/2012,-22.05,-3.08,-0.26,5.40,-,6.44,30/Sep/2020,iShares Global Property Secs Eq Index Fund (UK) Class A Inc,GB00B64XTP40,29/Jun/2012,-17.39,7.63,-0.78,30.08,-,67.40,30/Sep/2020,iShares Global Property Secs Eq Index Fund (UK) Class A Inc,GB00B64XTP40,29/Jun/2012,4.07,23.50,1.29,-0.26,17.30,31/Dec/2019,iShares Global Property Secs Eq Index Fund (UK) Class A Inc,15.77,1.18,0.00,"11,796.81",2.56,0.00,-,0.00,-,-,BBB,4.51,96.72,-
iShares Global Property Secs Eq Index Fund (UK) Class D Acc,GB00B5BFJG71,Accumulating,-,1.93,23/Oct/2020,1.92,23/Oct/2020,GBP,"4,136.15",Y,United Kingdom,0.17,-,Real Estate,Real Estate Securities,Global,Broad,Class D,Developed,-,Index,29/Jun/2012,iShares Global Property Securities Equity Index Fund (UK),"677,895,151.53","351,768,290.62",-,-,BlackRock Fund Managers Ltd,FTSE EPRA Nareit Custom Developed Midday (12:00 UK) (BLK-BCIF) Index,-,-,-,iShares Global Property Secs Eq Index Fund (UK) Class D Acc,GB00B5BFJG71,29/Jun/2012,35.03,-2.44,5.94,20.87,-21.82,30/Sep/2020,iShares Global Property Secs Eq Index Fund (UK) Class D Acc,GB00B5BFJG71,29/Jun/2012,-21.82,-2.79,0.03,5.69,-,6.81,30/Sep/2020,iShares Global Property Secs Eq Index Fund (UK) Class D Acc,GB00B5BFJG71,29/Jun/2012,-17.24,7.74,0.10,31.87,-,72.20,30/Sep/2020,iShares Global Property Secs Eq Index Fund (UK) Class D Acc,GB00B5BFJG71,29/Jun/2012,4.33,23.80,1.60,0.00,17.71,31/Dec/2019,iShares Global Property Secs Eq Index Fund (UK) Class D Acc,15.77,1.18,0.00,"11,796.81",2.56,0.00,-,0.00,-,-,BBB,4.51,96.72,-
iShares Index Linked Gilt Index Fund (UK) A Acc,GB00B83RS547,Accumulating,-,1.81,23/Oct/2020,1.80,23/Oct/2020,GBP,"2,383.01",Y,United Kingdom,0.51,-,Fixed Income,Inflation,Europe,United Kingdom,Class A,Developed,-,Index,29/Jun/2012,iShares Index Linked Gilt Index Fund (UK),"566,492.39","313,889.00",-,-,BlackRock Fund Managers Ltd,FTSE Actuaries UK Index Linked Gilts Over 5 Years (Midday) Index,-,-,-,iShares Index Linked Gilt Index Fund (UK) A Acc,GB00B83RS547,29/Jun/2012,30.87,-7.84,1.00,19.95,1.10,30/Sep/2020,iShares Index Linked Gilt Index Fund (UK) A Acc,GB00B83RS547,29/Jun/2012,1.10,10.12,6.99,8.11,-,7.69,30/Sep/2020,iShares Index Linked Gilt Index Fund (UK) A Acc,GB00B83RS547,29/Jun/2012,12.73,6.29,22.47,47.71,-,84.24,30/Sep/2020,iShares Index Linked Gilt Index Fund (UK) A Acc,GB00B83RS547,29/Jun/2012,-1.63,26.82,2.02,-1.22,5.83,31/Dec/2019,iShares Index Linked Gilt Index Fund (UK) A Acc,0.00,0.00,23.57,0.00,0.10,24.56,-,23.57,-,-,A,6.00,-,-
iShares Index Linked Gilt Index Fund (UK) D Acc,GB00B83RVT96,Accumulating,-,1.86,23/Oct/2020,1.86,23/Oct/2020,GBP,"2,383.01",Y,United Kingdom,0.11,-,Fixed Income,Inflation,Europe,United Kingdom,Class D,Developed,-,Index,29/Jun/2012,iShares Index Linked Gilt Index Fund (UK),"267,326,459.22","143,851,113.02",-,-,BlackRock Fund Managers Ltd,FTSE Actuaries UK Index Linked Gilts Over 5 Years (Midday) Index,-,-,-,iShares Index Linked Gilt Index Fund (UK) D Acc,GB00B83RVT96,29/Jun/2012,31.35,-7.49,1.37,20.36,1.50,30/Sep/2020,iShares Index Linked Gilt Index Fund (UK) D Acc,GB00B83RVT96,29/Jun/2012,1.50,10.53,7.39,8.52,-,8.06,30/Sep/2020,iShares Index Linked Gilt Index Fund (UK) D Acc,GB00B83RVT96,29/Jun/2012,13.06,6.46,23.84,50.48,-,89.64,30/Sep/2020,iShares Index Linked Gilt Index Fund (UK) D Acc,GB00B83RVT96,29/Jun/2012,-1.29,27.06,2.51,-0.94,6.27,31/Dec/2019,iShares Index Linked Gilt Index Fund (UK) D Acc,0.00,0.00,23.57,0.00,0.10,24.56,-,23.57,-,-,A,6.00,-,-
iShares Japan Equity Index Fund (UK) Class D Acc,GB00B6QQ9X96,Accumulating,-,2.39,23/Oct/2020,2.38,23/Oct/2020,GBP,"1,931.27",Y,United Kingdom,0.08,-,Equity,Large/Mid Cap,Asia Pacific,Japan,Class D,Developed,-,Index,29/Jun/2012,iShares Japan Equity Index Fund (UK),"173,164,038.93","72,484,730.68",-,-,BlackRock Fund Managers Ltd,FTSE Custom Japan Net of Tax Mid Day,-,-,-,iShares Japan Equity Index Fund (UK) Class D Acc,GB00B6QQ9X96,29/Jun/2012,32.22,11.27,13.28,0.09,2.65,30/Sep/2020,iShares Japan Equity Index Fund (UK) Class D Acc,GB00B6QQ9X96,29/Jun/2012,2.65,1.36,5.19,11.35,-,10.38,30/Sep/2020,iShares Japan Equity Index Fund (UK) Class D Acc,GB00B6QQ9X96,29/Jun/2012,3.27,16.04,16.38,71.20,-,125.96,30/Sep/2020,iShares Japan Equity Index Fund (UK) Class D Acc,GB00B6QQ9X96,29/Jun/2012,14.12,24.11,14.29,-8.59,14.41,31/Dec/2019,iShares Japan Equity Index Fund (UK) Class D Acc,16.59,1.30,0.00,"31,131.60",-,0.00,-,0.00,-,-,A,6.31,93.30,-
iShares Mid Cap UK Equity Index Fund (UK) A Acc,GB00B7WGJS53,Accumulating,-,1.96,23/Oct/2020,1.95,23/Oct/2020,GBP,608.64,Y,United Kingdom,0.51,-,Equity,Mid Cap,Europe,United Kingdom,Class A,Developed,-,Index,29/Jun/2012,iShares Mid Cap UK Equity Index Fund (UK),"7,883,908.83","4,019,993.38",-,-,BlackRock Fund Managers Ltd,FTSE Custom 250 Net Midday Index,-,-,-,iShares Mid Cap UK Equity Index Fund (UK) A Acc,GB00B7WGJS53,29/Jun/2012,8.80,14.35,4.73,0.62,-12.38,30/Sep/2020,iShares Mid Cap UK Equity Index Fund (UK) A Acc,GB00B7WGJS53,29/Jun/2012,-12.38,-6.11,-2.62,2.81,-,7.87,30/Sep/2020,iShares Mid Cap UK Equity Index Fund (UK) A Acc,GB00B7WGJS53,29/Jun/2012,-20.74,16.02,-7.67,14.87,-,86.90,30/Sep/2020,iShares Mid Cap UK Equity Index Fund (UK) A Acc,GB00B7WGJS53,29/Jun/2012,10.78,6.02,17.20,-13.58,28.52,31/Dec/2019,iShares Mid Cap UK Equity Index Fund (UK) A Acc,13.21,1.40,0.00,"1,931.02",6.32,0.00,-,0.00,-,-,AA,7.98,93.00,-
iShares Mid Cap UK Equity Index Fund (UK) D Acc,GB00B7VT0938,Accumulating,-,2.02,23/Oct/2020,2.01,23/Oct/2020,GBP,608.64,Y,United Kingdom,0.16,-,Equity,Mid Cap,Europe,United Kingdom,Class D,Developed,-,Index,29/Jun/2012,iShares Mid Cap UK Equity Index Fund (UK),"290,965,070.31","143,962,190.02",-,-,BlackRock Fund Managers Ltd,FTSE Custom 250 Net Midday Index,-,-,-,iShares Mid Cap UK Equity Index Fund (UK) D Acc,GB00B7VT0938,29/Jun/2012,9.21,14.75,5.01,0.79,-12.14,30/Sep/2020,iShares Mid Cap UK Equity Index Fund (UK) D Acc,GB00B7VT0938,29/Jun/2012,-12.14,-5.90,-2.39,3.11,-,8.26,30/Sep/2020,iShares Mid Cap UK Equity Index Fund (UK) D Acc,GB00B7VT0938,29/Jun/2012,-20.58,16.18,-7.01,16.53,-,92.54,30/Sep/2020,iShares Mid Cap UK Equity Index Fund (UK) D Acc,GB00B7VT0938,29/Jun/2012,11.16,6.38,17.57,-13.32,28.75,31/Dec/2019,iShares Mid Cap UK Equity Index Fund (UK) D Acc,13.21,1.40,0.00,"1,931.02",6.32,0.00,-,0.00,-,-,AA,7.98,93.00,-
iShares North American Equity Index Fund (UK) Class D Acc,GB00B7QK1Y37,Accumulating,-,4.68,23/Oct/2020,4.67,23/Oct/2020,GBP,"6,257.65",Y,United Kingdom,0.07,-,Equity,Large/Mid Cap,North America,United States,Class D,Developed,-,Index,29/Jun/2012,iShares North American Equity Index Fund (UK),"575,282,668.02","123,009,654.86",-,-,BlackRock Fund Managers Ltd,FTSE Custom North America Net Midday Index,-,-,-,iShares North American Equity Index Fund (UK) Class D Acc,GB00B7QK1Y37,29/Jun/2012,34.41,15.04,20.10,9.57,10.51,30/Sep/2020,iShares North American Equity Index Fund (UK) Class D Acc,GB00B7QK1Y37,29/Jun/2012,10.51,10.04,13.30,17.59,-,15.77,30/Sep/2020,iShares North American Equity Index Fund (UK) Class D Acc,GB00B7QK1Y37,29/Jun/2012,8.76,25.04,45.43,124.87,-,234.84,30/Sep/2020,iShares North American Equity Index Fund (UK) Class D Acc,GB00B7QK1Y37,29/Jun/2012,4.24,34.25,10.61,-0.60,26.62,31/Dec/2019,iShares North American Equity Index Fund (UK) Class D Acc,21.91,3.47,0.00,"320,038.75",1.74,0.00,-,0.00,-,-,A,6.41,171.45,-
iShares Overseas Corporate Bond Index Fund (UK) D Acc,GB00B58YKH53,Accumulating,-,1.72,23/Oct/2020,1.71,23/Oct/2020,GBP,"2,882.48",Y,United Kingdom,0.11,-,Fixed Income,Credit,Global,Broad,Class D,Developed,-,Index,29/Jun/2012,iShares Overseas Corporate Bond Index Fund (UK),"502,401,587.69","292,552,943.23",-,-,BlackRock Fund Managers Ltd,BBG Barc Global Agg Corporate ex GBP Index,-,-,-,iShares Overseas Corporate Bond Index Fund (UK) D Acc,GB00B58YKH53,29/Jun/2012,26.50,-0.62,1.18,15.56,3.08,30/Sep/2020,iShares Overseas Corporate Bond Index Fund (UK) D Acc,GB00B58YKH53,29/Jun/2012,3.08,9.14,6.42,8.67,-,6.04,30/Sep/2020,iShares Overseas Corporate Bond Index Fund (UK) D Acc,GB00B58YKH53,29/Jun/2012,8.97,9.24,20.53,51.53,-,62.28,30/Sep/2020,iShares Overseas Corporate Bond Index Fund (UK) D Acc,GB00B58YKH53,29/Jun/2012,0.52,25.60,-1.09,2.97,7.12,31/Dec/2019,iShares Overseas Corporate Bond Index Fund (UK) D Acc,10.99,1.00,7.13,0.00,2.91,9.65,-,7.21,-,-,A,5.82,249.23,-
iShares Overseas Government Bond Index Fund (UK) Class D Acc,GB00B849C803,Accumulating,-,1.45,23/Oct/2020,1.45,23/Oct/2020,GBP,"1,992.72",Y,United Kingdom,0.11,-,Fixed Income,Government,Global,Broad,Class D,Developed,-,Index,29/Jun/2012,iShares Overseas Government Bond Index Fund (UK),"153,227,973.11","105,390,558.04",-,-,BlackRock Fund Managers Ltd,JP Morgan Global Government Bond Index ex UK,-,-,-,iShares Overseas Government Bond Index Fund (UK) Class D Acc,GB00B849C803,29/Jun/2012,29.24,-6.37,0.80,15.16,2.07,30/Sep/2020,iShares Overseas Government Bond Index Fund (UK) Class D Acc,GB00B849C803,29/Jun/2012,2.07,8.42,5.82,7.47,-,3.94,30/Sep/2020,iShares Overseas Government Bond Index Fund (UK) Class D Acc,GB00B849C803,29/Jun/2012,10.44,0.34,18.48,43.37,-,37.51,30/Sep/2020,iShares Overseas Government Bond Index Fund (UK) Class D Acc,GB00B849C803,29/Jun/2012,1.84,22.55,-3.18,5.85,1.59,31/Dec/2019,iShares Overseas Government Bond Index Fund (UK) Class D Acc,0.00,0.00,8.48,0.00,1.65,10.01,-,8.48,-,-,A,6.30,-,-
iShares Pacific Ex Japan Equity Index Fund (UK) Class D Acc,GB00B849FB47,Accumulating,-,3.55,23/Oct/2020,3.54,23/Oct/2020,GBP,"1,351.77",Y,United Kingdom,0.13,-,Equity,Large/Mid Cap,Asia Pacific,Broad,Class D,Developed,-,Index,29/Jun/2012,iShares Pacific ex Japan Equity Index Fund (UK),"134,077,927.61","37,769,273.44",-,-,BlackRock Fund Managers Ltd,FTSE Custom Dev Asia Pac ex Japan Net of Tax Mid Day,-,-,-,iShares Pacific Ex Japan Equity Index Fund (UK) Class D Acc,GB00B849FB47,29/Jun/2012,41.31,14.18,7.87,3.79,1.12,30/Sep/2020,iShares Pacific Ex Japan Equity Index Fund (UK) Class D Acc,GB00B849FB47,29/Jun/2012,1.12,2.44,4.22,12.81,-,7.98,30/Sep/2020,iShares Pacific Ex Japan Equity Index Fund (UK) Class D Acc,GB00B849FB47,29/Jun/2012,-0.43,24.72,13.21,82.67,-,88.48,30/Sep/2020,iShares Pacific Ex Japan Equity Index Fund (UK) Class D Acc,GB00B849FB47,29/Jun/2012,-4.92,32.23,19.53,-7.29,15.00,31/Dec/2019,iShares Pacific Ex Japan Equity Index Fund (UK) Class D Acc,16.08,1.45,0.00,"68,195.74",-,0.00,-,0.00,-,-,A,5.98,258.50,-
iShares UK Equity Index Fund (UK) Class D Acc,GB00B7C44X99,Accumulating,-,1.98,23/Oct/2020,1.96,23/Oct/2020,GBP,"10,330.33",Y,United Kingdom,0.05,-,Equity,All Cap,Europe,United Kingdom,Class D,Developed,-,Index,29/Jun/2012,iShares UK Equity Index Fund (UK),"780,317,996.58","395,155,990.55",-,-,BlackRock Fund Managers Ltd,FTSE Custom All Share Net Of Tax Mid Day,-,-,-,iShares UK Equity Index Fund (UK) Class D Acc,GB00B7C44X99,29/Jun/2012,16.48,12.62,5.89,2.65,-16.50,30/Sep/2020,iShares UK Equity Index Fund (UK) Class D Acc,GB00B7C44X99,29/Jun/2012,-16.50,-7.42,-3.18,3.55,-,5.27,30/Sep/2020,iShares UK Equity Index Fund (UK) Class D Acc,GB00B7C44X99,29/Jun/2012,-19.81,8.55,-9.25,19.06,-,52.75,30/Sep/2020,iShares UK Equity Index Fund (UK) Class D Acc,GB00B7C44X99,29/Jun/2012,1.13,16.16,13.05,-9.04,19.18,31/Dec/2019,iShares UK Equity Index Fund (UK) Class D Acc,14.88,1.38,0.00,"35,103.00",5.96,0.01,-,0.00,-,-,AA,7.68,121.19,-
iShares UK Gilts All Stocks Index Fund (UK) Class D Acc,GB00B83HGR24,Accumulating,-,1.91,23/Oct/2020,1.91,23/Oct/2020,GBP,"5,218.68",Y,United Kingdom,0.11,-,Fixed Income,Government,Europe,United Kingdom,Class D,Developed,-,Index,29/Jun/2012,iShares UK Gilts All Stocks Index Fund (UK),"534,552,332.48","280,091,798.37",-,-,BlackRock Fund Managers Ltd,FTSE Actuaries UK Conventional Gilts All Stocks (Midday) Index,-,-,-,iShares UK Gilts All Stocks Index Fund (UK) Class D Acc,GB00B83HGR24,29/Jun/2012,13.54,-4.65,0.79,12.89,4.02,30/Sep/2020,iShares UK Gilts All Stocks Index Fund (UK) Class D Acc,GB00B83HGR24,29/Jun/2012,4.02,8.37,5.78,5.08,-,4.16,30/Sep/2020,iShares UK Gilts All Stocks Index Fund (UK) Class D Acc,GB00B83HGR24,29/Jun/2012,8.44,1.41,18.36,28.14,-,39.97,30/Sep/2020,iShares UK Gilts All Stocks Index Fund (UK) Class D Acc,GB00B83HGR24,29/Jun/2012,0.13,9.75,1.76,0.30,6.62,31/Dec/2019,iShares UK Gilts All Stocks Index Fund (UK) Class D Acc,0.00,0.00,12.69,0.00,0.61,16.53,-,12.69,-,-,A,6.00,-,-
iShares US Equity Index Fund (UK) A Acc,GB00B64RF031,Accumulating,-,3.41,23/Oct/2020,3.40,23/Oct/2020,GBP,"1,935.84",Y,United Kingdom,0.51,-,Equity,Large/Mid Cap,North America,United States,Class A,Developed,-,Index,29/Jun/2012,iShares US Equity Index Fund (UK),"2,728,307.03","800,698.02",-,-,BlackRock Fund Managers Ltd,FTSE Custom USA Net of Tax Mid Day,-,-,-,iShares US Equity Index Fund (UK) A Acc,GB00B64RF031,29/Jun/2012,33.91,14.63,20.36,8.91,10.79,30/Sep/2020,iShares US Equity Index Fund (UK) A Acc,GB00B64RF031,29/Jun/2012,10.79,9.85,13.24,17.39,-,15.79,30/Sep/2020,iShares US Equity Index Fund (UK) A Acc,GB00B64RF031,29/Jun/2012,8.95,24.66,45.23,122.92,-,235.27,30/Sep/2020,iShares US Equity Index Fund (UK) A Acc,GB00B64RF031,29/Jun/2012,5.30,33.09,10.32,-0.65,26.22,31/Dec/2019,iShares US Equity Index Fund (UK) A Acc,22.68,3.65,0.00,"331,736.11",1.66,0.00,-,0.00,-,-,A,6.43,164.63,-
iShares US Equity Index Fund (UK) Class D Acc,GB00B5VRGY09,Accumulating,-,3.53,23/Oct/2020,3.52,23/Oct/2020,GBP,"1,935.84",Y,United Kingdom,0.05,-,Equity,Large/Mid Cap,North America,United States,Class D,Developed,-,Index,29/Jun/2012,iShares US Equity Index Fund (UK),"1,170,209,574.61","331,800,977.35",-,-,BlackRock Fund Managers Ltd,FTSE Custom USA Net of Tax Mid Day,-,-,-,iShares US Equity Index Fund (UK) Class D Acc,GB00B5VRGY09,29/Jun/2012,34.47,15.17,20.82,9.39,11.28,30/Sep/2020,iShares US Equity Index Fund (UK) Class D Acc,GB00B5VRGY09,29/Jun/2012,11.28,10.33,13.72,17.90,-,16.27,30/Sep/2020,iShares US Equity Index Fund (UK) Class D Acc,GB00B5VRGY09,29/Jun/2012,9.31,24.98,47.07,127.76,-,246.89,30/Sep/2020,iShares US Equity Index Fund (UK) Class D Acc,GB00B5VRGY09,29/Jun/2012,5.69,33.65,10.80,-0.24,26.78,31/Dec/2019,iShares US Equity Index Fund (UK) Class D Acc,22.68,3.65,0.00,"331,736.11",1.66,0.00,-,0.00,-,-,A,6.43,164.63,-
iShares Developed Real Estate Index Fund (IE) Inst Dist EUR,IE00B7F1RC73,Distributing,-,11.38,22/Oct/2020,11.38,22/Oct/2020,EUR,"2,091.49",Y,Ireland,0.22,-,Real Estate,Real Estate Securities,Global,Broad,Inst,Developed,-,Index,08/Aug/2012,iShares Developed Real Estate Index Fund (IE),"413,841,477.97","36,369,464.07",-,-,BlackRock Asset Management Ireland Limited,FTSE EPRA Nareit Developed Net Index EUR,-,-,-,iShares Developed Real Estate Index Fund (IE) Inst Dist EUR,IE00B7F1RC73,08/Aug/2012,13.89,-4.31,5.46,20.33,-23.98,30/Sep/2020,iShares Developed Real Estate Index Fund (IE) Inst Dist EUR,IE00B7F1RC73,08/Aug/2012,-23.98,-4.36,-1.19,1.01,-,4.22,30/Sep/2020,iShares Developed Real Estate Index Fund (IE) Inst Dist EUR,IE00B7F1RC73,08/Aug/2012,-23.10,5.31,-3.53,5.14,-,40.06,30/Sep/2020,iShares Developed Real Estate Index Fund (IE) Inst Dist EUR,IE00B7F1RC73,08/Aug/2012,10.30,7.10,-2.98,-0.98,24.23,31/Dec/2019,iShares Developed Real Estate Index Fund (IE) Inst Dist EUR,15.71,1.18,0.00,"15,195.96",3.87,0.00,-,0.00,-,-,BBB,4.50,96.68,-
iShares Corporate Bond Index Fund (UK) Class L Inc,GB00B847N473,Distributing,-,1.43,23/Oct/2020,1.42,23/Oct/2020,GBP,"5,874.61",Y,United Kingdom,0.22,-,Fixed Income,Credit,Europe,United Kingdom,Class L,Developed,Equity Income,Index,20/Aug/2012,iShares Corporate Bond Index Fund (UK),"11,681,508.04","8,161,048.63",-,-,BlackRock Fund Managers Ltd,iBoxx Sterling Non Gilt 1300CET (midday) index,-,-,-,iShares Corporate Bond Index Fund (UK) Class L Inc,GB00B847N473,20/Aug/2012,14.18,-1.02,0.28,9.96,3.99,30/Sep/2020,iShares Corporate Bond Index Fund (UK) Class L Inc,GB00B847N473,20/Aug/2012,3.99,6.93,4.67,5.32,-,5.11,30/Sep/2020,iShares Corporate Bond Index Fund (UK) Class L Inc,GB00B847N473,20/Aug/2012,4.70,9.11,14.66,29.58,-,49.86,30/Sep/2020,iShares Corporate Bond Index Fund (UK) Class L Inc,GB00B847N473,20/Aug/2012,-0.13,10.04,4.28,-1.72,9.32,31/Dec/2019,iShares Corporate Bond Index Fund (UK) Class L Inc,9.05,0.77,7.96,0.00,2.40,10.89,-,8.01,-,-,A,6.71,121.06,-
iShares UK Gilts All Stocks Index Fund (UK) D Inc,GB00B89VCR08,Distributing,-,1.69,23/Oct/2020,1.69,23/Oct/2020,GBP,"5,218.68",Y,United Kingdom,0.11,-,Fixed Income,Government,Europe,United Kingdom,Class D,Developed,-,Index,10/Oct/2012,iShares UK Gilts All Stocks Index Fund (UK),"80,393,930.37","47,551,188.77",-,-,BlackRock Fund Managers Ltd,FTSE Actuaries UK Conventional Gilts All Stocks (Midday) Index,-,-,-,iShares UK Gilts All Stocks Index Fund (UK) D Inc,GB00B89VCR08,10/Oct/2012,13.50,-4.63,0.79,12.92,3.98,30/Sep/2020,iShares UK Gilts All Stocks Index Fund (UK) D Inc,GB00B89VCR08,10/Oct/2012,3.98,8.36,5.77,5.08,-,4.32,30/Sep/2020,iShares UK Gilts All Stocks Index Fund (UK) D Inc,GB00B89VCR08,10/Oct/2012,8.40,1.34,18.34,28.10,-,40.11,30/Sep/2020,iShares UK Gilts All Stocks Index Fund (UK) D Inc,GB00B89VCR08,10/Oct/2012,0.12,9.70,1.76,0.28,6.68,31/Dec/2019,iShares UK Gilts All Stocks Index Fund (UK) D Inc,0.00,0.00,12.69,0.00,0.61,16.53,-,12.69,-,-,A,6.00,-,-
iShares Global Property Secs Eq Index Fund (UK) Class D Inc,GB00B848DD97,Distributing,-,1.57,23/Oct/2020,1.57,23/Oct/2020,GBP,"4,136.15",Y,United Kingdom,0.17,-,Real Estate,Real Estate Securities,Global,Broad,Class D,Developed,-,Index,10/Oct/2012,iShares Global Property Securities Equity Index Fund (UK),"605,328,763.37","385,652,137.79",-,-,BlackRock Fund Managers Ltd,FTSE EPRA Nareit Custom Developed Midday (12:00 UK) (BLK-BCIF) Index,-,-,-,iShares Global Property Secs Eq Index Fund (UK) Class D Inc,GB00B848DD97,10/Oct/2012,35.01,-2.46,5.96,20.84,-21.81,30/Sep/2020,iShares Global Property Secs Eq Index Fund (UK) Class D Inc,GB00B848DD97,10/Oct/2012,-21.81,-2.79,0.04,5.68,-,6.57,30/Sep/2020,iShares Global Property Secs Eq Index Fund (UK) Class D Inc,GB00B848DD97,10/Oct/2012,-17.22,7.76,0.12,31.84,-,66.10,30/Sep/2020,iShares Global Property Secs Eq Index Fund (UK) Class D Inc,GB00B848DD97,10/Oct/2012,4.30,23.84,1.61,-0.02,17.71,31/Dec/2019,iShares Global Property Secs Eq Index Fund (UK) Class D Inc,15.77,1.18,0.00,"11,796.81",2.56,0.00,-,0.00,-,-,BBB,4.51,96.72,-
iShares Developed World Index Fund (IE) Inst Dist USD,IE00B62NX656,Distributing,-,18.63,22/Oct/2020,18.63,22/Oct/2020,USD,"11,879.14",Y,Ireland,0.16,-,Equity,All Cap,Global,Broad,Inst,Developed,-,Index,12/Oct/2012,iShares Developed World Index Fund (IE),"30,787,086.41","1,652,187.58",-,-,BlackRock Asset Management Ireland Limited,MSCI World Net TR Index,-,-,-,iShares Developed World Index Fund (IE) Inst Dist USD,IE00B62NX656,12/Oct/2012,11.26,18.32,11.18,1.82,10.30,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Dist USD,IE00B62NX656,12/Oct/2012,10.30,5.98,7.68,10.45,-,9.80,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Dist USD,IE00B62NX656,12/Oct/2012,1.64,28.77,24.87,64.38,-,110.57,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Dist USD,IE00B62NX656,12/Oct/2012,-0.98,7.52,22.49,-8.73,27.61,31/Dec/2019,iShares Developed World Index Fund (IE) Inst Dist USD,19.97,2.52,0.00,"304,828.00",1.74,0.00,-,0.00,-,-,A,6.71,156.13,-
iShares Europe Equity Index A2 EUR,LU0836512706,Accumulating,-,158.90,23/Oct/2020,-,23/Oct/2020,EUR,197.22,Y,Luxembourg,0.57,-,Equity,Large/Mid Cap,Europe,Broad,Class A2,Developed,-,Index,23/Oct/2012,iShares Europe Equity Index Fund (LU),-,-,-,-,BlackRock (Luxembourg) S.A.,MSCI EUROPE Net ( custom 4pm LUX ),-,-,-,iShares Europe Equity Index A2 EUR,LU0836512706,23/Oct/2012,0.99,16.82,1.75,5.32,-7.60,30/Sep/2020,iShares Europe Equity Index A2 EUR,LU0836512706,23/Oct/2012,-7.60,-1.35,-0.33,3.16,-,5.95,30/Sep/2020,iShares Europe Equity Index A2 EUR,LU0836512706,23/Oct/2012,-12.48,14.38,-0.97,16.83,-,58.25,30/Sep/2020,iShares Europe Equity Index A2 EUR,LU0836512706,23/Oct/2012,8.79,1.73,10.66,-10.71,25.62,31/Dec/2019,iShares Europe Equity Index A2 EUR,16.21,1.66,0.00,"68,529.78",3.58,0.00,-,0.00,-,-,AA,7.93,134.65,-
