Ticker,Name der Anteilklasse,ISIN,Fondsvermögen,UCITS,Domizil,TER (%),Laufende Gebühren (%),Auflagedatum,Anlageklasse,Unteranlageklasse,Region,Währung der Anteilsklasse,Markt,Strategie,Standort,Anteils- klasse,Anteile im Umlauf,für ISA zugelassen,Produktmethodik,Emittent,Ertrags- verwendung,Referenzindex,NAV,Per,Benchmark-Wert,für SIPP verfügbar,UK-Distributor /Reporting-Status,Risk Indicator,Geldkurs,Per,Briefkurs,Per,AUM (Mio.),UCITS,Anlageansatz,Diskrete Rendite,,,,,,Annualisiert,,,,,,,Kumulativ,,,,,,,Merkmale,,,,,,Kalenderjahr,,,,,,Merkmale,,,,,,,Nachhaltigkeitsmerkmale (MSCI),,,
-,iShares Developed Real Estate Index Fund (IE) Inst Acc USD,IE00B89M2V73,"579.318.367,99",Ja,Irland,-,"0,22",18.Jun.2014,Immobilien,Immobilien-Aktien,Global,USD,Industrieländer,-,Weitere,Inst,"47.443.025,11",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,FTSE EPRA Nareit Developed Index (Net) in USD,"12,21",17.Nov.2020,-,-,-,6.00,"12,21",17.Nov.2020,"12,22",17.Nov.2020,"2.405,07",Y,Index Fonds,30.Sep.2020,"14,68","0,67","3,61","12,97","-18,21",31.Oct.2020,"-22,84","-3,69","-2,39","0,24",-,"0,91",31.Oct.2020,"-22,30","1,51","-7,01","1,19",-,"5,94","1,64","0,00",-,"0,00",-,-,"-0,99","4,01","10,45","-5,71","21,98",31.Dec.2019,iShares Developed Real Estate Index Fund (IE) Inst Acc USD,"15,46","1,15","0,01","0,00","0,00","15.072,66",BBB,"4,48","96,64",-
-,iShares Developed World Index Fund (IE) Inst Dist GBP,IE00B62HNT07,"79.652.873,29",Ja,Irland,-,"0,17",22.Aug.2013,Aktien,Alle Kapitalisierungen,Global,GBP,Industrieländer,-,Weitere,Inst,"3.946.283,99",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI World NET TR in GBP Index,"20,18",17.Nov.2020,-,-,-,6.00,"20,18",17.Nov.2020,"20,20",17.Nov.2020,"12.607,48",Y,Index Fonds,30.Sep.2020,"29,75","14,55","14,39","7,75","5,13",31.Oct.2020,"4,34","7,74","6,85","12,02",-,"10,91",31.Oct.2020,"0,93","9,75","21,98","76,36",-,"110,57","1,74","0,00",-,"0,00",-,-,"4,76","28,25","11,88","-3,06","22,69",31.Dec.2019,iShares Developed World Index Fund (IE) Inst Dist GBP,"19,59","2,44","0,02","0,00","0,00","303.807,38",A,"6,75","152,15",-
-,iShares World Equity Index Fund (LU) Class D2 EUR,LU0875157702,-,Ja,Luxemburg,-,"0,24",16.Jan.2013,Aktien,Large Caps,Global,EUR,Industrieländer,-,Weitere,KLASSE D2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,MSCI WORLD Net EUR ( custom 4pm LUX ),"189,64",24.Jan.2018,-,-,-,6.00,-,24.Jan.2018,-,24.Jan.2018,"1.590,31",Y,Index Fonds,30.Sep.2020,"10,90","12,21","13,34","7,96","2,97",31.Oct.2020,"-1,01","6,20","5,48","6,61",-,"10,31",31.Oct.2020,"-5,76","3,73","17,34","37,69",-,"114,67","1,64","0,00",-,"0,00",-,-,"9,85","10,50","7,67","-4,87","29,84",31.Dec.2019,iShares World Equity Index Fund (LU) Class D2 EUR,"19,64","2,43","0,02","0,00","0,00","305.926,57",A,"6,79","154,68",-
EUNZ,iShares Edge MSCI EM Minimum Volatility UCITS ETF USD (Acc),IE00B8KGV557,"499.287.728,15",Ja,Irland,"0,40",-,30.Nov.2012,Aktien,Large/Mid Caps,Global,USD,Schwellenländer,Faktor ETFs,Weitere,- ,"16.000.000,00",Ja,Optimierung,iShares VI plc,thesaurierend,MSCI Emerging Markets Minimum Volatility Index,"31,21",17.Nov.2020,"1.884,51",Ja,Nein/Ja,5.00,-,17.Nov.2020,-,17.Nov.2020,"499,29",Y,Index Fonds,30.Sep.2020,"10,81","10,47","4,88","-1,35","-1,20",31.Oct.2020,"-3,28","2,47","0,14","3,47",-,"1,71",31.Oct.2020,"-5,19","8,38","0,42","18,62",-,"14,40",-,"0,00","0,13","0,00","0,01",-,"-12,61","3,51","26,51","-6,31","8,02",31.Dec.2019,iShares Edge MSCI EM Minimum Volatility UCITS ETF USD (Acc),"16,23","1,87","0,01","0,00","0,00","61.425,16",-,-,-,-
EUN0,iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc),IE00B86MWN23,"1.081.157.991,14",Ja,Irland,"0,25",-,30.Nov.2012,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,Faktor ETFs,Weitere,- ,"23.370.192,00",Ja,Optimierung,iShares VI plc,thesaurierend,MSCI Europe Minimum Volatility,"46,26",17.Nov.2020,"3.250,77",Ja,Nein/Ja,5.00,-,17.Nov.2020,-,17.Nov.2020,"1.120,43",Y,Index Fonds,30.Sep.2020,"4,76","7,95","4,08","10,29","-5,05",31.Oct.2020,"-9,45","1,94","0,70","1,74",-,"7,00",31.Oct.2020,"-12,16","-0,04","2,11","9,03",-,"70,81",-,"0,00","0,01","0,00","0,00",-,"15,34","-2,47","8,97","-4,12","23,06",31.Dec.2019,iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc),"21,80","2,69","0,01","0,00","0,00","42.981,01",AA,"8,28","114,63",-
IQQ0,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,"3.879.298.864,86",Ja,Irland,"0,30",-,30.Nov.2012,Aktien,Large/Mid Caps,Global,USD,Industrieländer,Faktor ETFs,Weitere,- ,"72.750.619,00",Ja,Optimierung,iShares VI plc,thesaurierend,MSCI World Minimum Volatility Index,"53,32",17.Nov.2020,"4.097,23",Ja,Nein/Ja,5.00,-,17.Nov.2020,-,17.Nov.2020,"4.054,92",Y,Index Fonds,30.Sep.2020,"16,61","9,33","10,27","10,78","0,02",31.Oct.2020,"-4,02","6,01","5,25","7,31",-,"8,89",31.Oct.2020,"-6,05","3,81","16,59","42,28",-,"96,20",-,"0,00","0,02","0,00","0,00",-,"5,08","7,40","17,36","-2,15","23,16",31.Dec.2019,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),"21,39","2,69","-0,01","0,00","0,00","90.253,75",A,"6,86","315,64",-
IBCK,iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Acc),IE00B6SPMN59,"1.505.719.514,15",Ja,Irland,"0,20",-,30.Nov.2012,Aktien,Large Caps,Nordamerika,USD,Industrieländer,Faktor ETFs,Vereinigte Staaten von Amerika,- ,"22.491.561,00",Ja,Optimierung,iShares VI plc,thesaurierend,S&P 500 Minimum Volatility Index,"66,95",17.Nov.2020,"5.436,05",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.896,57",Y,Index Fonds,30.Sep.2020,"19,12","8,50","16,22","9,05","6,80",31.Oct.2020,"3,54","9,40","8,76","9,80",-,"12,03",31.Oct.2020,"-2,25","9,26","28,63","59,56",-,"145,83",-,"0,00","0,05","0,00","0,00",-,"4,34","13,37","16,73","-5,36","31,66",31.Dec.2019,iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Acc),"24,03","3,84","0,01","0,00","0,00","242.990,16",A,"6,80","295,48",-
ISDE,iShares MSCI EM Islamic UCITS ETF USD (Dist),IE00B27YCP72,"57.254.975,61",Ja,Irland,"0,85",-,07.Dec.2007,Aktien,Large/Mid Caps,Global,USD,Schwellenländer,Nachhaltige Strategien,Weitere,- ,"2.800.000,00",Ja,Replikation,iShares II plc,ausschüttend,MSCI Emerging Markets (EM) Islamic Index,"20,45",17.Nov.2020,"1.436,79",Ja,Ja/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"57,25",Y,Index Fonds,30.Sep.2020,"15,69","24,72","-0,54","-6,13","20,15",31.Oct.2020,"15,47","12,37","2,64","8,85","1,11","-0,59",31.Oct.2020,"6,68","25,13","8,12","52,80","11,63","-7,30","1,06","0,00","0,19","0,00","0,00",-,"-16,40","8,96","40,94","-17,37","20,04",31.Dec.2019,iShares MSCI EM Islamic UCITS ETF USD (Dist),"19,43","2,13","0,01","0,00","0,00","286.351,03",BBB,"4,84","321,75",ESG Screened
ISUS,iShares MSCI USA Islamic UCITS ETF USD (Dist),IE00B296QM64,"76.545.517,09",Ja,Irland,"0,50",-,07.Dec.2007,Aktien,Large/Mid Caps,Nordamerika,USD,Industrieländer,Nachhaltige Strategien,Vereinigte Staaten von Amerika,- ,"1.600.000,00",Ja,Optimierung,iShares II plc,ausschüttend,MSCI USA Islamic Index,"47,84",17.Nov.2020,"2.355,99",Ja,Ja/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"76,55",Y,Index Fonds,30.Sep.2020,"13,95","9,88","14,38","-2,42","5,88",31.Oct.2020,"0,34","3,29","4,13","5,46","8,35","5,58",31.Oct.2020,"-5,94","5,55","12,91","30,46","123,00","101,34","1,43","0,00","0,03","0,00","0,00",-,"-4,31","8,74","13,84","-5,15","21,02",31.Dec.2019,iShares MSCI USA Islamic UCITS ETF USD (Dist),"24,81","2,99","0,01","0,00","0,00","155.744,61",A,"6,70","178,61",ESG Screened
ISWD,iShares MSCI World Islamic UCITS ETF USD (Dist),IE00B27YCN58,"170.791.881,10",Ja,Irland,"0,60",-,07.Dec.2007,Aktien,Large/Mid Caps,Global,USD,Industrieländer,Nachhaltige Strategien,Weitere,- ,"4.810.000,00",Ja,Optimierung,iShares II plc,ausschüttend,MSCI World Islamic Index,"35,51",17.Nov.2020,"1.892,73",Ja,Ja/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"170,79",Y,Index Fonds,30.Sep.2020,"12,94","13,65","9,02","-2,07","4,42",31.Oct.2020,"-2,50","2,71","1,72","4,73","5,81","3,36",31.Oct.2020,"-7,95","6,91","5,24","25,98","75,84","53,24","1,45","0,00","0,02","0,00","0,00",-,"-4,88","7,42","19,09","-9,37","22,00",31.Dec.2019,iShares MSCI World Islamic UCITS ETF USD (Dist),"21,38","2,30","0,01","0,00","0,00","122.798,29",A,"7,12","217,38",ESG Screened
IS0Z,iShares Global AAA-AA Govt Bond UCITS ETF USD (Dist),IE00B87G8S03,"155.878.316,67",Ja,Irland,"0,20",-,03.Oct.2012,Anleihen,Staatsanleihen,Global,USD,Industrieländer,-,Weitere,- ,"1.521.642,00",Ja,Sampling,iShares VI plc,ausschüttend,Bloomberg Barclays Global Government AAA-AA Capped Bond Index,"102,44",17.Nov.2020,"143,98",Ja,Nein/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"160,89",Y,Index Fonds,30.Sep.2020,"6,12","0,07","-1,77","4,90","7,70",31.Oct.2020,"6,45","6,97","3,70","3,26",-,"1,05",31.Oct.2020,"7,13","4,97","11,51","17,41",-,"8,82","0,58","10,57","1,99","8,82","0,02","2,38","-7,31","0,32","9,82","-3,03","4,99",31.Dec.2019,iShares Global AAA-AA Govt Bond UCITS ETF USD (Dist),"18,47","0,92","0,02","10,57","8,82","0,00",A,"6,79","12,35",-
IJPC,iShares MSCI Japan CHF Hedged UCITS ETF (Acc),IE00B8J37J31,"222.496.783,90",Ja,Irland,"0,64",-,30.Nov.2012,Aktien,Large/Mid Caps,Asien-Pazifik,CHF,Industrieländer,Währungsgesichert,Japan,- ,"4.060.000,00",Ja,Optimierung,iShares VI plc,thesaurierend,MSCI Japan Index,"54,80",17.Nov.2020,"160,73",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"222,50",Y,Index Fonds,30.Sep.2020,"-7,61","24,36","9,36","-11,19","2,88",31.Oct.2020,"-4,36","-0,87","-2,70","0,18",-,"8,85",31.Oct.2020,"-7,15","8,17","-7,88","0,90",-,"95,67",-,"0,00","0,00","0,00","0,03",-,"7,80","-3,62","17,98","-17,09","16,73",31.Dec.2019,iShares MSCI Japan CHF Hedged UCITS ETF (Acc),"17,62","1,39","0,03","0,00","0,00","42.309,34",A,"6,69","79,10",-
DAXEX,iShares Core DAX® UCITS ETF (DE),DE0005933931,"6.021.726.214,83",Ja,Deutschland,"0,16",-,27.Dec.2000,Aktien,Large Caps,Europa,EUR,Industrieländer,Core Series,Deutschland,- ,"53.825.000,00",Nein,Replikation,BlackRock Asset Management Deutschland AG,thesaurierend,DAX®,"111,88",17.Nov.2020,"13.133,47",Ja,Ja,6.00,-,17.Nov.2020,"114,12",17.Nov.2020,"6.021,73",Y,Index Fonds,30.Sep.2020,"8,69","21,86","-5,05","0,92","2,11",31.Oct.2020,"-10,69","-0,09","-4,93","0,88","5,46","2,86",31.Oct.2020,"-13,24","6,00","-14,08","4,48","70,20","74,86",-,"0,00","0,00","0,00","0,00","0,00","9,38","6,75","12,34","-18,70","24,79",31.Dec.2019,iShares Core DAX® UCITS ETF (DE),"14,53","1,64","0,02","0,00","0,00","62.533,08",AA,"8,29","350,55",-
IBCS,iShares € Corp Bond Large Cap UCITS ETF EUR (Dist),IE0032523478,"3.909.637.797,31",Ja,Irland,"0,20",-,17.Mar.2003,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"27.547.357,00",Ja,Sampling,iShares plc,ausschüttend,Markit iBoxx EUR Liquid Corporates Large Cap Index,"141,92",17.Nov.2020,"124,80",Ja,Ja/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"3.909,64",Y,Index Fonds,30.Sep.2020,"6,91","-0,45","-0,26","6,11","0,34",31.Oct.2020,"1,37","3,69","1,97","2,39","3,34","3,99",31.Oct.2020,"1,85","4,16","6,04","12,56","38,85","99,09","0,87","6,06","1,51","5,65","0,16","3,09","-0,89","4,25","1,50","-1,19","5,89",31.Dec.2019,iShares € Corp Bond Large Cap UCITS ETF EUR (Dist),"11,41","0,89","0,14","6,06","5,64","0,00",A,"6,93","142,34",-
IQQX,iShares Asia Pacific Dividend UCITS ETF USD (Dist),IE00B14X4T88,"384.364.222,79",Ja,Irland,"0,59",-,02.Jun.2006,Aktien,Alle Kapitalisierungen,Asien-Pazifik,USD,Industrieländer,Aktien Dividende,Weitere,- ,"16.825.000,00",Ja,Replikation,iShares plc,ausschüttend,Dow Jones Asia/Pacific Select Dividend 50 Index,"22,84",17.Nov.2020,"700,85",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"384,36",Y,Index Fonds,30.Sep.2020,"30,16","9,90","-3,98","3,03","-20,89",31.Oct.2020,"-23,02","-7,37","-8,04","0,56","1,40","3,54",31.Oct.2020,"-23,55","2,12","-22,23","2,82","14,93","65,06","4,15","0,00","0,00","0,00","0,00",-,"-16,62","20,46","16,59","-15,12","14,41",31.Dec.2019,iShares Asia Pacific Dividend UCITS ETF USD (Dist),"9,33","0,66","-0,06","0,00","0,00","19.538,43",A,"6,58","390,33",-
IQQ9,iShares BRIC 50 UCITS ETF USD (Dist),IE00B1W57M07,"244.059.672,54",Ja,Irland,"0,74",-,20.Apr.2007,Aktien,Large Caps,Global,USD,Schwellenländer,-,Weitere,- ,"6.493.628,00",Ja,Replikation,iShares II plc,ausschüttend,FTSE BRIC 50,"37,58",17.Nov.2020,"2.213,14",Ja,Ja/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"244,06",Y,Index Fonds,30.Sep.2020,"18,94","22,74","5,19","-0,32","19,36",31.Oct.2020,"20,01","15,45","8,50","12,48","3,70","4,35",31.Oct.2020,"7,99","24,74","27,72","80,02","43,82","77,86","1,50","0,00","-0,04","0,00","0,00",-,"-12,06","15,94","36,09","-8,70","22,73",31.Dec.2019,iShares BRIC 50 UCITS ETF USD (Dist),"13,83","1,67","0,01","0,00","0,00","285.287,11",BBB,"4,88","104,93",-
EXXV,iShares Dow Jones Eurozone Sustainability Screened UCITS ETF (DE),DE000A0F5UG3,"135.335.482,41",Ja,Deutschland,"0,41",-,27.Mar.2006,Aktien,Large Caps,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"10.750.000,00",Nein,Replikation,BlackRock Asset Management Deutschland AG,ausschüttend,"Dow Jones Sustainability Eurozone Index ex Alcohol, Tobacco, Gambling, Armaments & Firearms and Adult Entertainment","12,59",17.Nov.2020,"196,80",Ja,Nein,6.00,-,17.Nov.2020,"12,84",17.Nov.2020,"135,34",Y,Index Fonds,30.Sep.2020,"3,78","24,83","1,28","4,55","-6,54",31.Oct.2020,"-16,46","-2,86","-4,15","1,15","4,57","2,22",31.Oct.2020,"-20,45","0,81","-11,95","5,90","56,37","37,70","2,05","0,00","0,00","0,00","0,00","0,00","6,31","7,21","13,04","-10,40","27,11",31.Dec.2019,iShares Dow Jones Eurozone Sustainability Screened UCITS ETF (DE),"16,11","1,50","0,02","0,00","0,00","58.568,40",AAA,"8,85","144,03",ESG Broad
SPAG,iShares Agribusiness UCITS ETF USD (Acc),IE00B6R52143,"74.817.210,53",Ja,Irland,"0,55",-,16.Sep.2011,Aktien,Alle Kapitalisierungen,Global,USD,Industrieländer,"Alternative Investments, Sektoren, Thematische Anlagen",Weitere,- ,"2.000.000,00",Ja,Replikation,iShares V plc,thesaurierend,S&P Commodity Producers Agribusiness,"37,41",17.Nov.2020,"3.417,21",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"74,82",Y,Index Fonds,30.Sep.2020,"11,07","17,57","4,82","-2,33","-1,69",31.Oct.2020,"-2,34","0,63","-0,59","4,38",-,"3,02",31.Oct.2020,"-7,92","17,59","-1,76","23,92",-,"31,20",-,"0,00","0,02","0,00","0,00",-,"-10,90","11,18","19,67","-12,17","17,62",31.Dec.2019,iShares Agribusiness UCITS ETF USD (Acc),"19,98","1,73","-0,03","0,00","0,00","23.385,84",A,"5,74","311,16",-
IAEX,iShares AEX UCITS ETF EUR (Dist),IE00B0M62Y33,"324.079.015,71",Ja,Irland,"0,30",-,18.Nov.2005,Aktien,Large Caps,Europa,EUR,Industrieländer,-,Niederlande,- ,"5.393.968,00",Ja,Replikation,iShares plc,ausschüttend,AEX-Index,"60,08",17.Nov.2020,"1.849,28",Ja,Ja/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"325,31",Y,Index Fonds,30.Sep.2020,"10,83","22,22","5,02","8,66","-3,90",31.Oct.2020,"-5,74","3,90","1,26","5,70","7,53","4,45",31.Oct.2020,"-10,26","5,06","3,84","31,95","106,58","91,61","1,58","0,00","0,00","0,00","0,00",-,"6,71","12,92","15,89","-8,04","27,56",31.Dec.2019,iShares AEX UCITS ETF EUR (Dist),"17,76","1,78","-0,01","0,00","0,00","75.349,44",AA,"7,69","71,56",-
EXXX,iShares ATX UCITS ETF (DE),DE000A0D8Q23,"117.417.513,09",Ja,Deutschland,"0,32",-,04.Aug.2005,Aktien,Large Caps,Europa,EUR,Industrieländer,-,Österreich,- ,"4.400.000,00",Nein,Replikation,BlackRock Asset Management Deutschland AG,ausschüttend,ATX®,"26,69",17.Nov.2020,"2.511,29",Ja,Nein,6.00,-,17.Nov.2020,"27,22",17.Nov.2020,"117,42",Y,Index Fonds,30.Sep.2020,"10,34","40,74","3,23","-7,18","-29,49",31.Oct.2020,"-33,50","-17,47","-13,67","-1,03","-0,43","-0,79",31.Oct.2020,"-34,45","-6,11","-35,67","-5,06","-4,20","-11,42","0,30","0,00","0,00","0,00","0,00","0,00","12,69","11,80","33,29","-17,95","19,68",31.Dec.2019,iShares ATX UCITS ETF (DE),"8,20","0,91","-0,01","0,00","0,00","5.639,51",AA,"8,25","223,53",-
IUST,iShares $ TIPS UCITS ETF,IE00B1FZSC47,"2.431.603.914,26",Ja,Irland,"0,25",-,08.Dec.2006,Anleihen,Inflationsgeschützte Anleihen,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,- ,"10.149.623,00",Ja,Sampling,iShares II plc,thesaurierend,Bloomberg Barclays US Government Inflation-Linked Bond Index,"239,58",17.Nov.2020,"351,12",Ja,Nein/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"3.456,53",Y,Index Fonds,30.Sep.2020,"6,84","-0,95","0,28","7,22","10,33",31.Oct.2020,"9,29","9,24","5,54","4,44","3,20","4,22",31.Oct.2020,"8,79","3,79","17,55","24,28","36,96","77,57",-,"8,92","0,78","8,30","0,65","1,03","-1,86","4,68","3,18","-1,62","8,55",31.Dec.2019,iShares $ TIPS UCITS ETF,"0,00","0,00","-0,91","8,92","8,30","0,00",A,"6,58",-,-
IUSU,iShares $ Treasury Bond 1-3yr UCITS ETF USD (Dist),IE00B14X4S71,"3.236.074.654,19",Ja,Irland,"0,07",-,02.Jun.2006,Anleihen,Staatsanleihen,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,- ,"24.062.145,00",Ja,Sampling,iShares plc,ausschüttend,ICE U.S. Treasury 1-3 Year Bond Index,"134,49",17.Nov.2020,"109,83",Ja,Ja/Ja,2.00,-,17.Nov.2020,-,17.Nov.2020,"7.053,51",Y,Index Fonds,30.Sep.2020,"0,77","0,15","-0,14","4,34","3,61",31.Oct.2020,"3,22","3,88","2,60","1,74","1,13","2,12",31.Oct.2020,"3,04","0,14","8,00","9,01","11,90","35,38","1,72","1,92","1,82","1,89","0,17","0,61","0,37","0,74","0,32","1,45","3,53",31.Dec.2019,iShares $ Treasury Bond 1-3yr UCITS ETF USD (Dist),"0,00","0,00","0,17","1,92","1,89","0,00",A,"6,58",-,-
IUSM,iShares $ Treasury Bond 7-10yr UCITS ETF USD (Dist),IE00B1FZS798,"4.112.769.352,19",Ja,Irland,"0,07",-,08.Dec.2006,Anleihen,Staatsanleihen,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,- ,"18.726.323,00",Ja,Sampling,iShares II plc,ausschüttend,ICE U.S. Treasury 7-10 Year Bond Index,"219,63",17.Nov.2020,"124,88",Ja,Ja/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"5.208,83",Y,Index Fonds,30.Sep.2020,"5,45","-2,99","-3,08","13,88","10,07",31.Oct.2020,"8,45","11,43","6,31","4,30","3,97","5,24",31.Oct.2020,"9,97","-0,87","20,15","23,42","47,66","103,31","1,56","8,36","2,13","7,72","0,74","2,12","1,58","0,93","2,47","0,81","8,46",31.Dec.2019,iShares $ Treasury Bond 7-10yr UCITS ETF USD (Dist),"0,00","0,00","0,74","8,36","7,72","0,00",A,"6,58",-,-
INXG,iShares £ Index-Linked Gilts UCITS ETF GBP (Dist),IE00B1FZSD53,"921.122.201,67",Ja,Irland,"0,10",-,01.Dec.2006,Anleihen,Inflationsgeschützte Anleihen,Europa,GBP,Industrieländer,-,Grossbritannien,- ,"46.952.240,00",Ja,Sampling,iShares II plc,ausschüttend,Bloomberg Barclays UK Government Inflation-Linked Bond Index,"19,62",17.Nov.2020,"561,92",Ja,Ja/Ja,5.00,-,17.Nov.2020,-,17.Nov.2020,"921,12",Y,Index Fonds,30.Sep.2020,"24,52","-4,00","1,19","18,87","0,14",31.Oct.2020,"6,62","7,95","6,31","7,90","8,04","7,28",31.Oct.2020,"10,68","3,52","20,14","46,27","116,60","165,92","0,64","22,38","0,67","21,46","0,68","0,61","-1,28","25,21","2,25","-0,63","6,18",31.Dec.2019,iShares £ Index-Linked Gilts UCITS ETF GBP (Dist),"13,24","1,61","-2,33","22,38","21,46","0,00",A,"6,00","3,80",-
IGEA,iShares Emerging Asia Local Govt Bond UCITS ETF USD (Dist),IE00B6QGFW01,"100.021.408,37",Ja,Irland,"0,50",-,02.Mar.2012,Anleihen,Staatsanleihen,Asien-Pazifik,USD,Schwellenländer,-,Weitere,- ,"992.669,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Emerging Markets Asia Local Currency Govt Country Capped Index,"100,76",17.Nov.2020,"181,04",Ja,Nein/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"123,40",Y,Index Fonds,30.Sep.2020,"15,15","-3,17","-0,30","8,74","5,58",31.Oct.2020,"6,24","9,25","5,27","4,52",-,"2,35",31.Oct.2020,"4,29","6,43","16,66","24,76",-,"22,33","2,85","9,35","3,88","7,20","3,00","4,35","-6,22","0,71","12,00","-1,60","9,02",31.Dec.2019,iShares Emerging Asia Local Govt Bond UCITS ETF USD (Dist),"0,00","0,00","3,00","9,35","7,20","0,00",BBB,"4,81",-,-
IUSP,iShares J.P. Morgan EM Local Govt Bond UCITS ETF USD (Dist),IE00B5M4WH52,"6.225.510.026,85",Ja,Irland,"0,50",-,20.Jun.2011,Anleihen,Staatsanleihen,Global,USD,Schwellenländer,-,Weitere,- ,"107.394.618,00",Ja,Sampling,iShares III plc,ausschüttend,J.P. Morgan GBI-EM Global Diversified 10% Cap 1% Floor,"57,97",17.Nov.2020,"149,87",Ja,Nein/Ja,5.00,-,17.Nov.2020,-,17.Nov.2020,"6.382,53",Y,Index Fonds,30.Sep.2020,"16,60","5,97","-8,44","8,59","-2,78",31.Oct.2020,"-5,05","3,94","-0,04","2,77",-,"-1,03",31.Oct.2020,"-6,90","6,11","-0,11","14,66",-,"-9,24","5,02","7,33","5,47","5,23","4,31","6,45","-15,01","8,73","14,07","-7,15","11,56",31.Dec.2019,iShares J.P. Morgan EM Local Govt Bond UCITS ETF USD (Dist),"0,00","0,00","4,31","7,33","5,23","0,00",BBB,"4,64",-,-
EUN4,iShares € Aggregate Bond UCITS ETF EUR (Dist),IE00B3DKXQ41,"2.297.335.782,34",Ja,Irland,"0,25",-,06.Mar.2009,Anleihen,Mehrere Sektoren,Europa,EUR,Industrieländer,-,Weitere,- ,"17.652.324,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Euro Aggregate Bond Index,"130,14",17.Nov.2020,"274,74",Ja,Ja/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"2.297,34",Y,Index Fonds,30.Sep.2020,"6,33","-2,49","-0,11","9,16","0,27",31.Oct.2020,"2,04","5,07","2,97","2,51","3,74","4,16",31.Oct.2020,"3,41","3,46","9,17","13,18","44,31","60,71","0,62","8,77","1,77","7,65","-0,11","2,71","0,79","3,17","0,48","0,21","5,83",31.Dec.2019,iShares € Aggregate Bond UCITS ETF EUR (Dist),"10,82","0,87","-0,12","8,77","7,63","0,00",A,"6,36","100,94",-
EUN5,iShares Core € Corp Bond UCITS ETF EUR (Dist),IE00B3F81R35,"10.354.541.746,57",Ja,Irland,"0,20",-,06.Mar.2009,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,Core Series,Weitere,- ,"76.324.287,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Euro Corporate Bond Index,"135,67",17.Nov.2020,"265,21",Ja,Ja/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"12.234,67",Y,Index Fonds,30.Sep.2020,"7,31","0,42","-0,15","5,97","0,06",31.Oct.2020,"1,03","3,47","1,81","2,54","3,51","4,93",31.Oct.2020,"1,34","4,24","5,53","13,34","41,24","75,16","0,85","5,66","1,61","5,31","0,36","3,01","-0,69","4,64","2,29","-1,41","6,14",31.Dec.2019,iShares Core € Corp Bond UCITS ETF EUR (Dist),"11,46","0,95","0,27","5,66","5,31","0,00",A,"6,89","137,01",-
